Key	WorldX	WorldY	WorldZ	Classname	micFileName	Eventnumber	Posixtime	ImgX1	ImgY1	ImgX2	ImgY2
6215	203650.707221	544475.968816	50.618935	noParking	2205021311_M008C35L03G031_6762/01_camera/01/220502144806.mic	91481	2022-05-02 05:48:57.241294(utc)	3	1871	173	2001
6216	203860.674750	544555.773809	34.675905	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502145206.mic	93707	2022-05-02 05:52:39.847056(utc)	2174	1026	2206	1088
6217	203255.099799	543964.792730	27.985655	CrossWalk	2205021311_M008C35L03G031_6762/01_camera/01/220502152511.mic	113357	2022-05-02 06:25:24.845508(utc)	3116	792	3218	1010
6218	203752.670966	544514.126165	40.443609	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502145006.mic	92619	2022-05-02 05:50:51.037245(utc)	1801	1218	1853	1230
6219	203479.085883	544533.236089	58.878574	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502144506.mic	89604	2022-05-02 05:45:49.544500(utc)	2093	1567	2257	1625
6220	204347.293280	544971.983587	24.114226	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502135501.mic	59569	2022-05-02 04:55:46.041086(utc)	2214	826	2258	868
6221	203552.850165	544609.231206	53.514164	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502150811.mic	103415	2022-05-02 06:08:50.644898(utc)	1530	1783	1644	1825
6222	203932.267768	544352.078130	40.878649	TrafficLight_pedestrian	2205021311_M008C35L03G031_6762/01_camera/01/220502143406.mic	83057	2022-05-02 05:34:54.835235(utc)	2788	655	2998	951
6223	203539.956244	544646.420904	52.289936	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502145906.mic	97841	2022-05-02 05:59:33.248713(utc)	980	1146	1044	1212
6224	202936.245917	544454.153142	35.563715	TrafficLight_road	2205021311_M008C35L03G031_6762/01_camera/01/220502153411.mic	119181	2022-05-02 06:35:07.239157(utc)	2445	477	2633	543
6225	204329.462287	544987.551336	21.522341	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502140206.mic	63970	2022-05-02 05:03:06.146073(utc)	1340	1014	1392	1032
6226	202717.076728	543591.082235	25.594311	TrafficLight_road	2205021311_M008C35L03G031_6762/01_camera/01/220502132701.mic	42518	2022-05-02 04:27:20.936745(utc)	2136	1051	2164	1079
6227	202971.739325	543850.257398	17.801520	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502152711.mic	114773	2022-05-02 06:27:46.442111(utc)	290	1536	438	1572
6228	202640.806220	543783.970272	17.095205	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502152911.mic	116138	2022-05-02 06:30:02.938541(utc)	1889	1387	2035	1417
6229	203662.649237	544441.482244	44.459038	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502144006.mic	86616	2022-05-02 05:40:50.742858(utc)	1573	1505	1709	1541
6230	204231.080451	544829.892156	33.613495	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502135701.mic	60508	2022-05-02 04:57:19.943661(utc)	1887	1288	1953	1300
6231	203439.538031	544561.503911	57.994549	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502150013.mic	98619	2022-05-02 06:00:51.044359(utc)	3136	1678	3248	1710
6232	203745.582343	544511.744390	40.412920	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502144906.mic	91790	2022-05-02 05:49:28.138264(utc)	1727	1342	1817	1362
6233	203505.022773	544537.568975	61.171730	noParking	2205021311_M008C35L03G031_6762/01_camera/01/220502144706.mic	90445	2022-05-02 05:47:13.645737(utc)	329	250	559	444
6234	203713.407782	544457.759893	42.793079	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502144006.mic	86503	2022-05-02 05:40:39.446198(utc)	1224	1969	1538	2123
6235	203590.377509	544251.678808	39.759977	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502142406.mic	77148	2022-05-02 05:25:03.944487(utc)	1700	1526	1840	1554
6236	203024.686103	544489.516363	31.232080	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502133501.mic	47305	2022-05-02 04:35:19.648299(utc)	2406	1398	2502	1422
6237	203447.408026	542877.434453	26.101289	BusRoad	2205021311_M008C35L03G031_6762/01_camera/01/220502132301.mic	40034	2022-05-02 04:23:12.531238(utc)	2066	632	2250	824
6238	203595.561835	544125.605413	28.795447	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502143506.mic	83731	2022-05-02 05:36:02.242916(utc)	475	959	535	1081
6239	204027.538214	544773.022710	31.548981	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502134001.mic	50543	2022-05-02 04:40:43.448506(utc)	18	890	54	926
6240	204048.638922	544879.257757	27.023790	CrossWalk	2205021311_M008C35L03G031_6762/01_camera/01/220502135101.mic	56923	2022-05-02 04:51:21.447146(utc)	149	1137	205	1149
6241	203410.379950	544460.283086	58.185100	noParking	2205021311_M008C35L03G031_6762/01_camera/01/220502145706.mic	96532	2022-05-02 05:57:22.345994(utc)	2744	1660	2864	1684
6242	203440.236274	544561.949834	59.235039	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502145706.mic	96728	2022-05-02 05:57:41.943636(utc)	3135	1673	3253	1705
6243	203702.210395	544472.329717	46.495085	OneWay_right	2205021311_M008C35L03G031_6762/01_camera/01/220502145006.mic	92394	2022-05-02 05:50:28.548530(utc)	2311	1133	2339	1159
6244	202491.619452	544278.016332	24.920824	TrafficLight_road	2205021311_M008C35L03G031_6762/01_camera/01/220502133201.mic	45572	2022-05-02 04:32:26.340803(utc)	1801	280	2075	406
6245	203690.715277	544492.415533	46.255243	Oneway_left	2205021311_M008C35L03G031_6762/01_camera/01/220502144006.mic	86379	2022-05-02 05:40:27.038187(utc)	3239	764	3435	924
6246	203590.263983	544251.866338	39.424963	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502142606.mic	77836	2022-05-02 05:26:12.740878(utc)	1743	1519	1879	1545
6247	204009.949713	544722.059331	38.857582	CrossWalk	2205021311_M008C35L03G031_6762/01_camera/01/220502140010.mic	62655	2022-05-02 05:00:54.645884(utc)	453	682	693	968
6248	202930.524726	543055.887517	34.498600	BikeRoad	2205021311_M008C35L03G031_6762/01_camera/01/220502132501.mic	41513	2022-05-02 04:25:40.439534(utc)	1512	796	1610	832
6249	203684.066840	544373.108037	45.887180	noParking	2205021311_M008C35L03G031_6762/01_camera/01/220502145306.mic	94431	2022-05-02 05:53:52.240731(utc)	1184	1914	1472	2044
6250	203745.538153	544511.854558	40.922445	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502145006.mic	92598	2022-05-02 05:50:48.947666(utc)	1748	1347	1838	1367
6251	203733.564399	544306.425756	33.713507	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502140806.mic	67155	2022-05-02 05:08:24.643239(utc)	2103	999	2139	1033
6252	203729.178412	544468.557989	42.449966	Hole	2205021311_M008C35L03G031_6762/01_camera/01/220502144206.mic	87668	2022-05-02 05:42:35.943527(utc)	1888	1322	1956	1340
6253	203814.436347	544668.150335	37.156824	Stop	2205021311_M008C35L03G031_6762/01_camera/01/220502150511.mic	101469	2022-05-02 06:05:36.040367(utc)	1811	1197	1863	1209
